iter	Logloss
0	0.6176941687
1	0.56925227
2	0.5223377312
3	0.4909325635
4	0.4640972323
5	0.4433362497
6	0.4313378996
7	0.4194017402
8	0.4104087019
9	0.4022204182
10	0.397161689
11	0.3919168708
12	0.3865757879
13	0.3841575057
14	0.38078179
15	0.3779600531
16	0.3759609858
17	0.3744720524
18	0.3728347461
19	0.3713732534
20	0.3704187324
21	0.3693630208
22	0.3683361445
23	0.3678654221
24	0.367462066
25	0.3666118197
26	0.3657952264
27	0.3654221508
28	0.3649029098
29	0.3643950675
30	0.364037916
31	0.3637555245
32	0.3634281781
33	0.3630380467
34	0.3627588894
35	0.3623630328
36	0.3621652621
37	0.3620034357
38	0.3617954206
39	0.361588575
40	0.361306061
41	0.3611070063
42	0.3609497819
43	0.3607794
44	0.3606508998
45	0.3602936497
46	0.3601516607
47	0.3599988533
48	0.3596923339
49	0.3595847166
50	0.3594425611
51	0.3593005432
52	0.3591543654
53	0.3590507706
54	0.3589433905
55	0.3587720589
56	0.3586721618
57	0.3585907875
58	0.3584099501
59	0.358343514
60	0.3582367007
61	0.3581130485
62	0.3579645092
63	0.357812131
64	0.3577114065
65	0.357535856
66	0.3574522834
67	0.3573584781
68	0.3572582787
69	0.3571503803
70	0.3570608368
71	0.3569319494
72	0.3568688333
73	0.3568239758
74	0.3567341227
75	0.356648355
76	0.356566515
77	0.356424466
78	0.3563241437
79	0.3562246309
80	0.3561160218
81	0.3560388218
82	0.3559812633
83	0.3558340829
84	0.3557748268
85	0.3556885312
86	0.355551878
87	0.3554760586
88	0.3554025288
89	0.3553434165
90	0.3552816431
91	0.3551936399
92	0.3551128113
93	0.3550331935
94	0.3549458802
95	0.3548460237
96	0.3546418587
97	0.3545541801
98	0.3544709725
99	0.3543450341
100	0.3542736468
101	0.3542096684
102	0.3541274168
103	0.354034929
104	0.3539316844
105	0.3538169972
106	0.353705442
107	0.3536129884
108	0.3535630847
109	0.353466503
110	0.3533664564
111	0.3532926402
112	0.3531921192
113	0.3530878111
114	0.353007189
115	0.3529122331
116	0.3528221121
117	0.3527391192
118	0.3526639709
119	0.3525638766
120	0.3524885472
121	0.3523929688
122	0.3523008453
123	0.3522057748
124	0.3521200008
125	0.3520555639
126	0.3519729126
127	0.3518949627
128	0.3517999668
129	0.3517190467
130	0.351643462
131	0.3515501939
132	0.3514600758
133	0.3513118835
134	0.3512089037
135	0.3511305831
136	0.3510261663
137	0.3509209173
138	0.3508456537
139	0.3507192555
140	0.3506410102
141	0.3505429904
142	0.3504322746
143	0.3503363163
144	0.3502552071
145	0.3501552441
146	0.3500466057
147	0.3499418286
148	0.3498491097
149	0.3497520011
150	0.3496560239
151	0.3495742352
152	0.3495152803
153	0.3494353028
154	0.3493515882
155	0.3492477958
156	0.349159608
157	0.3490658557
158	0.3489768175
159	0.348889254
160	0.3487941472
161	0.3487206515
162	0.3486259903
163	0.3485261422
164	0.3484135079
165	0.348333397
166	0.3482314665
167	0.348149987
168	0.3480831236
169	0.348020386
170	0.3479402478
171	0.3478432997
172	0.3477669853
173	0.3476856928
174	0.3476010728
175	0.3475232944
176	0.3474367069
177	0.3473873336
178	0.3473025807
179	0.3472545982
180	0.3471719322
181	0.3471020563
182	0.3470211971
183	0.3469362367
184	0.3468545511
185	0.3467681512
186	0.3466773242
187	0.3466236911
188	0.3465016642
189	0.3464000342
190	0.3463181467
191	0.3462110826
192	0.3461215375
193	0.3460496995
194	0.3459646222
195	0.3458988925
196	0.3458022484
197	0.345705913
198	0.3455987625
199	0.3455097807
