iter	Passed	Remaining
0	62	6181
1	67	3317
2	72	2333
3	77	1848
4	81	1539
5	85	1336
6	89	1189
7	94	1083
8	98	999
9	103	931
10	108	874
11	112	828
12	117	783
13	121	745
14	125	712
15	130	684
16	135	659
17	139	635
18	143	613
19	148	594
20	152	574
21	157	556
22	162	542
23	166	526
24	170	510
25	174	496
26	179	484
27	183	472
28	188	461
29	193	451
30	197	440
31	202	430
32	207	421
33	211	410
34	215	400
35	220	391
36	224	381
37	229	373
38	233	364
39	237	356
40	242	349
41	246	340
42	251	333
43	255	325
44	261	319
45	265	311
46	270	304
47	274	297
48	279	290
49	283	283
50	287	276
51	292	269
52	296	263
53	301	256
54	305	250
55	310	243
56	314	237
57	318	230
58	323	224
59	328	218
60	332	212
61	336	206
62	341	200
63	345	194
64	350	188
65	355	182
66	359	177
67	364	171
68	368	165
69	372	159
70	377	154
71	382	148
72	386	143
73	391	137
74	395	131
75	400	126
76	404	120
77	409	115
78	414	110
79	418	104
80	422	99
81	426	93
82	431	88
83	436	83
84	440	77
85	444	72
86	449	67
87	453	61
88	458	56
89	463	51
90	467	46
91	471	41
92	476	35
93	481	30
94	485	25
95	490	20
96	494	15
97	499	10
98	503	5
99	508	0
